District,Name of Veterinary Hospital,Hospital Type
Thiruvananthapuram,"DVC- THIRUVANANTHAPURAM,VIKAS BHAVAN,695033",DISTRICT VETERINARY CENTRE
Thiruvananthapuram,"VD- KALAMACHAL,VAMANAPURAM,695606",VETERINARY DISPENSARY
Thiruvananthapuram,"VD- AMBOORI,AMBOORY,AMBOORI,695505",VETERINARY DISPENSARY
Thiruvananthapuram,"VD- KEEZHATTINGAL,KADAKKAVUR,KEEZHATTINGAL,695701",VETERINARY DISPENSARY
Thiruvananthapuram,"VD- MUDAKKAL,MUDAKKAL,OORUPOIKA,695104",VETERINARY DISPENSARY
Thiruvananthapuram,"VD- PANGODE,PANGODE,KALLARA,695609",VETERINARY DISPENSARY
Thiruvananthapuram,"VD- PULLAMPARA,PULLAMPARA,ANAKUZHY,695607",VETERINARY DISPENSARY
Thiruvananthapuram,"VD- SARKARA,CHIRAYINKEEZHU,KOONTHALOOR,695304",VETERINARY DISPENSARY
Thiruvananthapuram,"VD- VENNIYOOR,VENGANUR,NELLIVILA,695523",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-ALUMUKKU,POOVACHAL,POOVACHAL,695572",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-AMBALATHARA,POONTHURA,695026",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-ANAD,ANAD,ANAD,695544",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-ANCHUTHENGU,ANCHUTHENGU,KAIKKARA,695307",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-ARUMANOOR,POOVAR,POOVAR,695525",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-ARUVIKKARA,ARUVIKKARA,ARUVIKKARA,695564",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-ATTINKUZHI,ATTINKUZHI,6",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-ATTUKAL,PANAVUR,CHULLIMANOOR,695541",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-BALARAMAPURAM,BALARAMAPURAM,BALARAMAPURAM,695501",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-CHEMMARUTHY,CHEMMARUTHY,CHEMMARUTHY,695145",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-ELAKAMON,CHEMMARUTHY,ELAKAMON,695310",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KADAKAMPALLY,KADAKAMPALLY,6",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KADINAMKULAM,KADHINAMKULAM,CHANNAKARA,695315",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KALLIKKADU,KALLIKKAD,NEYYARDAM,695572",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KALLIYOOR,KALLIYOOR,6",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KALLOOR,POTHENKODE,MANJAMALA,695313",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KAMUKINKODE,ATHIYANNUR,ARALUMOODU,695123",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KARAKULAM,KARAKULAM,VENGODE,695028",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KARAVARAM,KARAVARAM,ATTINGAL,695605",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KARODE,KARODE,KARODE,695506",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KARUMKULAM,KARUMKULAM,PUTHIYATHURA,695526",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KOLLAYIL,KOLLAYIL,MANCHAVILAKOM,695003",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KUDAPPANAKUNNU,KUDAPPANKUNNU,695043",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KULATHOOR,KULATHOOR,UCHAKKADA,695506",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KUNNATHUKAL,KUNNATTUKAL,KARAKONAM,695504",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KUTTICHAL,KUTTICHAL,KUTTICHAL,695574",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-KUTTIYANI ,VEMBAYAM,PANTHALACODE,695028",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-MALAYADI,THOLIKKODE,MALAYADI,695542",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-MANAMBOOR,MANAMBOOR,KLLAMBALAM,695611",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-MANICKAL,VELAVOOR,6",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-MANNAMKONAM,ARIANKODE,ARYANAD,695125",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-MANNATHIMOOLA,CHIRAYINKEEZHU,KADAKKAVOOR,695306",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-MARANALLUR,MARANALLUR,KOOVALASSERY,695512",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-MONNAMOODU,KODUNGANOOR ,695013",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-MURUKKUMPUZHA,MANGALAPURAM,MURUKKUMPUZHA,695302",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-NAVAIKULAM,NAVAYIKKULAM,VETTIYARA,695603",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-NEDIYANCODE,PARASSALA,PARASSUVAKKAL,695508",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-OTTASEKHARAMANGALAM,OTTASEKHARAMANGALAM,KURAVARA,695125",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PALIYODE,PALIYODE,6",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PALLIKAL,PALLIKKAL,PAKALKURI,695604",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PALODE,NANDIYODE,PACHA,695562",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PANACHAMOODU,VELLARADA,VELLARADA,695505",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PERINGAMMALA,PERINGAMMALA,PERINGAMMALA,695563",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PERUMKADAVILA,PERUMKADAVILA,PERUMKADAVILA,695124",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PERUMPAZHUTHUR,PERUMPAZHUTHUR,6",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PERUNGUZHI,AZHOOR,SASTHAVATTOM,695305",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PONGUMOODU,SREEKARIYAM,6",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PULIMATH,PULIMATH,PULLAYIL,695505",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PULIMOODU,KILIMANOOR,PONGANADU,695601",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-SREEKARIYAM,SREEKARIYAM,CHEMBAZHANTHI,695587",VETERINARY DISPENSARY
